name,area,initial_url,last_url,round1_attempts,round2_attempts,status,reason
北京市政务数据资源网,北京市,http://data.beijing.gov.cn/,https://data.beijing.gov.cn:443/,3,3,本轮未接入,ConnectError
天津市信息资源统一开放,天津市,https://data.tj.gov.cn/,https://data.tj.gov.cn/xwfb/xyyw/202608/t20260826_7358636.html,1,1,本轮未接入,公开页面没有可继续的目录或应用脚本线索
承德市政府数据开放平台,河北省承德市,http://www.chengde.gov.cn/shuju/web/index,https://www.chengde.gov.cn/shuju/web/index,2,3,本轮未接入,HTTP错误，未取得业务数据
石家庄市人民政府-数据发,河北省石家庄市,http://www.sjz.gov.cn/col/1596004085768/index.html,https://www.sjz.gov.cn/attachments/1/202605/26/%E9%99%84%E4%BB%B6%20%E6%95%B0%E6%8D%AE%E5%BC%80%E6%94%BE%E5%85%B1%E4%BA%AB%E5%85%B8%E5%9E%8B%E6%A1%88%E4%BE%8B%E7%94%B3%E6%8A%A5%E4%B9%A62026052614345463720260526151739136.doc?sid=fcec7f0f-6403-4720-afda-597d5871b3c4,1,3,本轮未接入,公开页面没有可继续的目录或应用脚本线索
衡水市人民政府-数据开放,河北省衡水市,http://www.hengshui.gov.cn/col/col51/index.html,http://www.hengshui.gov.cn/col/col51/index.html,1,3,本轮未接入,公开页面没有可继续的目录或应用脚本线索
山西省人民政府-政府数据,山西省,https://data.shanxi.gov.cn/,https://data.shanxi.gov.cn/,3,3,本轮未接入,ConnectError
大同市人民政府-数据开放,山西省大同市,http://www.dt.gov.cn/dtzww/sjdt1/shujudatong.shtml,https://www.dt.gov.cn/,1,1,本轮未接入,公开页面没有可继续的目录或应用脚本线索
阳泉市人民政府-数据阳泉,山西省阳泉市,http://www.yq.gov.cn/ggsj_12505/,https://tjj.yq.gov.cn/tjxx/,2,3,本轮未接入,公开页面没有可继续的目录或应用脚本线索
晋城市人民政府-政府数据,山西省晋城市,http://www.jcgov.gov.cn/zfsj/,https://www.jcgov.gov.cn/zfsj/,2,1,本轮未接入,公开页面没有可继续的目录或应用脚本线索
忻州市人民政府-公共数据,山西省忻州市,https://www.sxxz.gov.cn/ggsj/,https://www.sxxz.gov.cn/ggsj/pcsj/202608/t20260804_4198727.shtml,1,2,本轮未接入,公开页面没有可继续的目录或应用脚本线索
内蒙古自治区人民政府,-政内蒙古自治区,http://www.nmg.gov.cn/col/col1586/,https://www.nmg.gov.cn/404/40x.html,2,1,本轮未接入,公开页面没有可继续的目录或应用脚本线索
呼和浩特市人民政府,-政府内蒙古自治区呼和,http://www.huhhot.gov.cn/zfsj/,https://www.huhhot.gov.cn/,1,3,本轮未接入,ConnectError
乌海市人民政府,-数据公开内蒙古自治区乌海,http://www.wuhai.gov.cn/wuhai/zwgk/sjkf/index.html,https://www.wuhai.gov.cn/,1,3,本轮未接入,ConnectError
赤峰市人民政府,-数据内蒙古自治区赤峰,http://www.chifeng.gov.cn/channels/125.html,https://www.chifeng.gov.cn/channels/125.html,2,3,本轮未接入,HTTP错误，未取得业务数据
呼伦贝尔市人民政府,-数据内蒙古自治区呼伦,http://www.hlbe.gov.cn/DataRelease/,https://www.hlbe.gov.cn/dist/js/Columns_index.js,2,3,本轮未接入,公开页面没有可继续的目录或应用脚本线索
阿拉善盟人民政府,-数据开内蒙古自治区阿拉,http://www.als.gov.cn/col/col130/index.html,https://www.als.gov.cn/,1,3,本轮未接入,ConnectError
辽宁省人民政府,-数据发布辽宁省,http://www.ln.gov.cn/zfsj/sjfb/,https://www.ln.gov.cn/zfsj/sjfb/,2,1,本轮未接入,公开页面没有可继续的目录或应用脚本线索
大连市人民政府,-数据开放辽宁省大连市,https://www.dl.gov.cn/col/col139/index.html,https://www.dl.gov.cn/col/col139/index.html,1,3,本轮未接入,HTTP错误，未取得业务数据
营口市人民政府,-数据发布辽宁省营口市,http://www.yingkou.gov.cn/006/datapub.html,https://www.yingkou.gov.cn/006/datapub.html,2,1,本轮未接入,公开页面没有可继续的目录或应用脚本线索
盘锦市人民政府,-数据发布辽宁省盘锦市,http://www.panjin.gov.cn/html/1752/,https://www.panjin.gov.cn/,1,1,本轮未接入,公开页面没有可继续的目录或应用脚本线索
吉林省人民政府,-数据吉林省,http://www.jl.gov.cn/sj/,https://www.jl.gov.cn/,1,1,本轮未接入,公开页面没有可继续的目录或应用脚本线索
数据-吉林市人民政府,吉林省吉林市,http://www.jlcity.gov.cn/sj/,https://www.jlcity.gov.cn/sj/jdsj/,2,2,本轮未接入,公开页面没有可继续的目录或应用脚本线索
数据开放-辽源市人民政府,吉林省辽源市,http://www.liaoyuan.gov.cn/xxgk/sjkf/,https://www.liaoyuan.gov.cn/,1,1,本轮未接入,公开页面没有可继续的目录或应用脚本线索
政府数据-白山市人民政府,吉林省白山市,http://www.cbs.gov.cn,https://www.cbs.gov.cn/,2,1,本轮未接入,公开页面没有可继续的目录或应用脚本线索
数据松原,-松原市人民政府吉林省松原市,http://www.jlsy.gov.cn/zwgk/sjsy/,https://www.jlsy.gov.cn/,1,1,本轮未接入,公开页面没有可继续的目录或应用脚本线索
数据-延边州人民政府,吉林省延边州,http://www.yanbian.gov.cn/sj/,https://www.yanbian.gov.cn/,1,3,本轮未接入,ConnectError
哈尔滨市政府数据开放平,哈尔滨市,http://data.harbin.gov.cn,https://data.harbin.gov.cn/,3,3,本轮未接入,ConnectError
大庆公共数据开放平台,黑龙江省大庆市,http://dataopen.daqing.gov.cn/index.html,https://dataopen.daqing.gov.cn/,3,3,本轮未接入,ConnectError
佳木斯市政府数据开放平,黑龙江省佳木斯市,http://data.jms.gov.cn,https://data.jms.gov.cn/,3,3,本轮未接入,ConnectError
数据-鸡西市人民政府,黑龙江省鸡西市,http://www.jixi.gov.cn/shujv/tjxx/,https://www.jixi.gov.cn/jixi/xhtml/jixi2025/static/js/index.js,1,2,本轮未接入,公开页面没有可继续的目录或应用脚本线索
数据-伊春市政府开放数据,黑龙江省伊春市,http://www.yc.gov.cn/sj/,https://www.yc.gov.cn/sj/,2,3,本轮未接入,HTTP错误，未取得业务数据
数据信息-黑河市人民政府,黑龙江省黑河市,http://www.heihe.gov.cn/zwfb/sjxx.htm,https://www.heihe.gov.cn/zwfb/sjxx.htm,2,3,本轮未接入,HTTP错误，未取得业务数据
上海市公共数据开放平台,上海市,https://data.sh.gov.cn/,https://data.sh.gov.cn/,1,0,保留既有实现，能力限制见地区目录,不以本轮入口检查代替业务采集验收
无锡市公共数据开放平台,江苏省无锡市,http://data.wuxi.gov.cn/data/,https://data.wuxi.gov.cn/data/,3,3,本轮未接入,ConnectError
数据开放-常州市人民政府,江苏省常州市,http://opendata.changzhou.gov.cn,https://www.changzhou.gov.cn/opendata/index.php?m=open&c=index&a=nocattree&cfid=1&isapi=0&time=0.40073300 1788968721,2,2,本轮未接入,公开页面没有可继续的目录或应用脚本线索
苏州市政务数据开放平台,江苏省苏州市,http://www.suzhou.gov.cn/OpenResourceWeb/home,https://data.suzhou.gov.cn/assets/js/index.87b2156a.js,2,2,本轮未接入,公开页面没有可继续的目录或应用脚本线索
南通市公共数据开放网站,江苏省南通市,http://data.nantong.gov.cn/home/index.html#/home,https://data.nantong.gov.cn/home/index.html,3,3,本轮未接入,ReadTimeout
连云港市公共数据开放网,江苏省连云港市,http://www.lyg.gov.cn/data/showindex/index.do,https://www.lyg.gov.cn/,1,3,本轮未接入,HTTP错误，未取得业务数据
开放扬州（扬州数据开放）,江苏省扬州市,http://data.yangzhou.gov.cn,https://data.yangzhou.gov.cn/,1,1,本轮未接入,公开页面没有可继续的目录或应用脚本线索
泰州市政务数据开放平台,江苏省泰州市,http://www.taizhou.gov.cn/opendata/,https://www.taizhou.gov.cn/,1,1,本轮未接入,公开页面没有可继续的目录或应用脚本线索
数据开放-江苏省人民政府,江苏省,http://www.jiangsu.gov.cn/col/col33688/index.html,https://www.jiangsu.gov.cn/,1,3,本轮未接入,HTTP错误，未取得业务数据
数据发布-南京市人民政府,江苏省南京市,http://tjj.nanjing.gov.cn/bmfw/njsj/,https://tjj.nanjing.gov.cn/,1,3,本轮未接入,HTTP错误，未取得业务数据
徐州市公共数据开放,江苏省徐州市,http://www.xz.gov.cn/zgxz/sjkf/,http://data.gxj.xz.gov.cn/dexchange/openportal/static/js/app.8058be70.js,1,3,本轮未接入,公开页面没有可继续的目录或应用脚本线索
数据盐城,-盐城市人民政府江苏省盐城市,http://www.yancheng.gov.cn/col/col8/index.html,https://www.yancheng.gov.cn/,1,3,本轮未接入,HTTP错误，未取得业务数据
数据开放-宿迁市人民政府,江苏省宿迁市,http://www.suqian.gov.cn/cnsq/sjkf/sjkf.shtml,http://www.suqian.gov.cn/cnsq/sjdt/202608/620041526b3e4ee59ec4c2185e4d7c3d.shtml,2,2,新增统计文章采集,suqian/search:商务统计；正式采集器已取得实际统计正文
数据开放-浙江省人民政府,浙江省,http://data.zjzwfw.gov.cn/jdop_front/index.do,https://data.zjzwfw.gov.cn/dopServer/static/js/vendors~app.37f0c82a.js,2,2,本轮未接入,公开页面没有可继续的目录或应用脚本线索
杭州市数据开放平台,浙江省,https://data.hz.zjzwfw.gov.cn,https://data.hz.zjzwfw.gov.cn,3,3,本轮未接入,ConnectError
宁波市数据开放平台,浙江省宁波市,http://data.nb.zjzwfw.gov.cn/nbdata/fore/index.html,https://data.nb.zjzwfw.gov.cn/,3,3,本轮未接入,ConnectError
温州市公共数据开放平台,浙江省温州市,http://data.wz.zjzwfw.gov.cn/jdop_front/index.do,https://data.wz.zjzwfw.gov.cn/,3,3,本轮未接入,ConnectError
湖州市数据开放平台,浙江省湖州市,http://data.huz.zjzwfw.gov.cn/home,https://data.huz.zjzwfw.gov.cn/,3,3,本轮未接入,ConnectError
绍兴市公共数据开放平台,浙江省绍兴市,https://data.sx.zjzwfw.gov.cn/kf/home,https://data.sx.zjzwfw.gov.cn/kf/home,3,3,本轮未接入,ConnectError
金华市数据开放平台,浙江省金华市,http://data.jh.zjzwfw.gov.cn/jdop_front/index.do,https://data.jh.zjzwfw.gov.cn/,3,3,本轮未接入,ConnectError
衢州市数据开放平台,浙江省衢州市,http://data.qz.zjzwfw.gov.cn/jdop_front/index.do,https://data.qz.zjzwfw.gov.cn/,3,3,本轮未接入,ConnectError
